record_id,site_id,window_start_utc,window_end_utc,anchor_timestamp_utc,image_id,relative_path,pm25_mean_ug_m3,pm10_mean_ug_m3,temperature_c,humidity_pct,pressure_hpa,pm_sensor_count,image_available
f5_2026-05_000001,site_godrej_15f,2026-05-03 18:30:00+00:00,2026-05-03 18:35:00+00:00,2026-05-03 18:35:00+00:00,,,27.109,41.597,21.97,84.06,1003.67,30,False
f5_2026-05_000002,site_godrej_15f,2026-05-03 18:35:00+00:00,2026-05-03 18:40:00+00:00,2026-05-03 18:40:00+00:00,,,27.764,43.4,22.2,83.91,1003.8,30,False
f5_2026-05_000003,site_godrej_15f,2026-05-03 18:40:00+00:00,2026-05-03 18:45:00+00:00,2026-05-03 18:45:00+00:00,,,27.511,42.979,22.12,84.62,1003.64,30,False
f5_2026-05_000004,site_godrej_15f,2026-05-03 18:45:00+00:00,2026-05-03 18:50:00+00:00,2026-05-03 18:50:00+00:00,,,27.3,42.427,21.83,84.51,1003.76,30,False
f5_2026-05_000005,site_godrej_15f,2026-05-03 18:50:00+00:00,2026-05-03 18:55:00+00:00,2026-05-03 18:55:00+00:00,,,27.241,42.562,22.53,84.05,1003.78,30,False
f5_2026-05_000006,site_godrej_15f,2026-05-03 18:55:00+00:00,2026-05-03 19:00:00+00:00,2026-05-03 19:00:00+00:00,,,27.449,42.157,22.08,82.88,1003.74,30,False
f5_2026-05_000007,site_godrej_15f,2026-05-03 19:00:00+00:00,2026-05-03 19:05:00+00:00,2026-05-03 19:05:00+00:00,,,27.987,43.603,22.54,83.26,1003.79,30,False
f5_2026-05_000008,site_godrej_15f,2026-05-03 19:05:00+00:00,2026-05-03 19:10:00+00:00,2026-05-03 19:10:00+00:00,,,27.938,43.737,22.17,83.48,1003.89,30,False
f5_2026-05_000009,site_godrej_15f,2026-05-03 19:10:00+00:00,2026-05-03 19:15:00+00:00,2026-05-03 19:15:00+00:00,,,27.631,42.461,22.32,83.76,1003.95,30,False
f5_2026-05_000010,site_godrej_15f,2026-05-03 19:15:00+00:00,2026-05-03 19:20:00+00:00,2026-05-03 19:20:00+00:00,,,28.372,44.009,22.03,84.26,1003.82,30,False
f5_2026-05_000011,site_godrej_15f,2026-05-03 19:20:00+00:00,2026-05-03 19:25:00+00:00,2026-05-03 19:25:00+00:00,,,28.133,43.501,22.13,83.84,1003.88,30,False
f5_2026-05_000012,site_godrej_15f,2026-05-03 19:25:00+00:00,2026-05-03 19:30:00+00:00,2026-05-03 19:30:00+00:00,,,28.114,44.192,22.34,82.84,1003.86,30,False
f5_2026-05_000013,site_godrej_15f,2026-05-03 19:30:00+00:00,2026-05-03 19:35:00+00:00,2026-05-03 19:35:00+00:00,,,28.336,43.549,22.4,82.62,1004.03,30,False
f5_2026-05_000014,site_godrej_15f,2026-05-03 19:35:00+00:00,2026-05-03 19:40:00+00:00,2026-05-03 19:40:00+00:00,,,28.314,44.057,22.78,83.83,1003.88,30,False
f5_2026-05_000015,site_godrej_15f,2026-05-03 19:40:00+00:00,2026-05-03 19:45:00+00:00,2026-05-03 19:45:00+00:00,,,28.534,44.246,22.24,82.68,1003.92,30,False
f5_2026-05_000016,site_godrej_15f,2026-05-03 19:45:00+00:00,2026-05-03 19:50:00+00:00,2026-05-03 19:50:00+00:00,,,28.654,43.75,22.39,83.47,1003.99,30,False
f5_2026-05_000017,site_godrej_15f,2026-05-03 19:50:00+00:00,2026-05-03 19:55:00+00:00,2026-05-03 19:55:00+00:00,,,28.824,44.787,22.71,82.13,1004.06,30,False
f5_2026-05_000018,site_godrej_15f,2026-05-03 19:55:00+00:00,2026-05-03 20:00:00+00:00,2026-05-03 20:00:00+00:00,,,28.483,43.965,22.48,82.08,1004.07,30,False
f5_2026-05_000019,site_godrej_15f,2026-05-03 20:00:00+00:00,2026-05-03 20:05:00+00:00,2026-05-03 20:05:00+00:00,,,28.954,45.135,22.98,82.68,1003.96,30,False
f5_2026-05_000020,site_godrej_15f,2026-05-03 20:05:00+00:00,2026-05-03 20:10:00+00:00,2026-05-03 20:10:00+00:00,,,28.818,44.623,23.0,83.56,1004.11,30,False
f5_2026-05_000021,site_godrej_15f,2026-05-03 20:10:00+00:00,2026-05-03 20:15:00+00:00,2026-05-03 20:15:00+00:00,,,28.962,44.813,23.11,82.71,1003.93,30,False
f5_2026-05_000022,site_godrej_15f,2026-05-03 20:15:00+00:00,2026-05-03 20:20:00+00:00,2026-05-03 20:20:00+00:00,,,29.552,46.249,23.04,83.03,1004.0,30,False
f5_2026-05_000023,site_godrej_15f,2026-05-03 20:20:00+00:00,2026-05-03 20:25:00+00:00,2026-05-03 20:25:00+00:00,,,29.74,46.424,23.21,81.77,1004.09,30,False
f5_2026-05_000024,site_godrej_15f,2026-05-03 20:25:00+00:00,2026-05-03 20:30:00+00:00,2026-05-03 20:30:00+00:00,,,29.617,45.218,23.47,81.73,1004.05,30,False
f5_2026-05_000025,site_godrej_15f,2026-05-03 20:30:00+00:00,2026-05-03 20:35:00+00:00,2026-05-03 20:35:00+00:00,,,29.403,45.429,23.48,82.24,1004.21,30,False
f5_2026-05_000026,site_godrej_15f,2026-05-03 20:35:00+00:00,2026-05-03 20:40:00+00:00,2026-05-03 20:40:00+00:00,,,29.724,45.921,23.57,81.15,1004.2,30,False
f5_2026-05_000027,site_godrej_15f,2026-05-03 20:40:00+00:00,2026-05-03 20:45:00+00:00,2026-05-03 20:45:00+00:00,,,29.915,46.573,23.06,81.03,1004.15,30,False
f5_2026-05_000028,site_godrej_15f,2026-05-03 20:45:00+00:00,2026-05-03 20:50:00+00:00,2026-05-03 20:50:00+00:00,,,29.881,46.454,23.37,81.71,1004.23,30,False
f5_2026-05_000029,site_godrej_15f,2026-05-03 20:50:00+00:00,2026-05-03 20:55:00+00:00,2026-05-03 20:55:00+00:00,,,30.18,46.337,23.24,81.46,1004.2,30,False
f5_2026-05_000030,site_godrej_15f,2026-05-03 20:55:00+00:00,2026-05-03 21:00:00+00:00,2026-05-03 21:00:00+00:00,,,29.598,45.865,24.04,82.06,1004.03,30,False
f5_2026-05_000031,site_godrej_15f,2026-05-03 21:00:00+00:00,2026-05-03 21:05:00+00:00,2026-05-03 21:05:00+00:00,,,30.822,48.276,23.6,81.65,1004.04,30,False
f5_2026-05_000032,site_godrej_15f,2026-05-03 21:05:00+00:00,2026-05-03 21:10:00+00:00,2026-05-03 21:10:00+00:00,,,30.639,47.369,23.59,80.05,1004.13,30,False
f5_2026-05_000033,site_godrej_15f,2026-05-03 21:10:00+00:00,2026-05-03 21:15:00+00:00,2026-05-03 21:15:00+00:00,,,30.706,47.593,24.01,81.67,1004.28,30,False
f5_2026-05_000034,site_godrej_15f,2026-05-03 21:15:00+00:00,2026-05-03 21:20:00+00:00,2026-05-03 21:20:00+00:00,,,30.329,47.921,24.22,81.52,1004.11,30,False
f5_2026-05_000035,site_godrej_15f,2026-05-03 21:20:00+00:00,2026-05-03 21:25:00+00:00,2026-05-03 21:25:00+00:00,,,30.715,47.298,23.96,80.3,1004.25,30,False
f5_2026-05_000036,site_godrej_15f,2026-05-03 21:25:00+00:00,2026-05-03 21:30:00+00:00,2026-05-03 21:30:00+00:00,,,30.933,47.223,24.43,80.29,1004.18,30,False
f5_2026-05_000037,site_godrej_15f,2026-05-03 21:30:00+00:00,2026-05-03 21:35:00+00:00,2026-05-03 21:35:00+00:00,,,31.077,48.213,24.35,80.58,1004.08,30,False
f5_2026-05_000038,site_godrej_15f,2026-05-03 21:35:00+00:00,2026-05-03 21:40:00+00:00,2026-05-03 21:40:00+00:00,,,30.975,47.376,24.65,79.94,1004.29,30,False
f5_2026-05_000039,site_godrej_15f,2026-05-03 21:40:00+00:00,2026-05-03 21:45:00+00:00,2026-05-03 21:45:00+00:00,,,31.343,48.606,24.26,80.2,1004.08,30,False
f5_2026-05_000040,site_godrej_15f,2026-05-03 21:45:00+00:00,2026-05-03 21:50:00+00:00,2026-05-03 21:50:00+00:00,,,31.788,49.513,24.63,80.1,1004.29,30,False
f5_2026-05_000041,site_godrej_15f,2026-05-03 21:50:00+00:00,2026-05-03 21:55:00+00:00,2026-05-03 21:55:00+00:00,,,31.609,48.801,24.38,79.96,1004.18,30,False
f5_2026-05_000042,site_godrej_15f,2026-05-03 21:55:00+00:00,2026-05-03 22:00:00+00:00,2026-05-03 22:00:00+00:00,,,32.311,49.694,24.54,78.46,1004.32,30,False
f5_2026-05_000043,site_godrej_15f,2026-05-03 22:00:00+00:00,2026-05-03 22:05:00+00:00,2026-05-03 22:05:00+00:00,,,31.867,49.515,25.23,79.22,1004.22,30,False
f5_2026-05_000044,site_godrej_15f,2026-05-03 22:05:00+00:00,2026-05-03 22:10:00+00:00,2026-05-03 22:10:00+00:00,,,31.337,48.822,25.06,79.18,1004.23,30,False
f5_2026-05_000045,site_godrej_15f,2026-05-03 22:10:00+00:00,2026-05-03 22:15:00+00:00,2026-05-03 22:15:00+00:00,,,32.175,49.832,25.04,79.52,1004.12,30,False
f5_2026-05_000046,site_godrej_15f,2026-05-03 22:15:00+00:00,2026-05-03 22:20:00+00:00,2026-05-03 22:20:00+00:00,,,32.393,50.212,25.2,77.77,1004.31,30,False
f5_2026-05_000047,site_godrej_15f,2026-05-03 22:20:00+00:00,2026-05-03 22:25:00+00:00,2026-05-03 22:25:00+00:00,,,32.408,50.466,25.31,78.71,1004.13,30,False
f5_2026-05_000048,site_godrej_15f,2026-05-03 22:25:00+00:00,2026-05-03 22:30:00+00:00,2026-05-03 22:30:00+00:00,,,32.636,50.767,25.35,77.79,1004.29,30,False
f5_2026-05_000049,site_godrej_15f,2026-05-03 22:30:00+00:00,2026-05-03 22:35:00+00:00,2026-05-03 22:35:00+00:00,,,32.752,50.972,25.96,77.08,1004.15,30,False
f5_2026-05_000050,site_godrej_15f,2026-05-03 22:35:00+00:00,2026-05-03 22:40:00+00:00,2026-05-03 22:40:00+00:00,,,32.899,50.606,26.08,76.73,1004.24,30,False
f5_2026-05_000051,site_godrej_15f,2026-05-03 22:40:00+00:00,2026-05-03 22:45:00+00:00,2026-05-03 22:45:00+00:00,,,32.839,50.726,25.81,77.01,1004.12,30,False
f5_2026-05_000052,site_godrej_15f,2026-05-03 22:45:00+00:00,2026-05-03 22:50:00+00:00,2026-05-03 22:50:00+00:00,,,32.975,51.733,25.98,77.75,1004.23,30,False
f5_2026-05_000053,site_godrej_15f,2026-05-03 22:50:00+00:00,2026-05-03 22:55:00+00:00,2026-05-03 22:55:00+00:00,,,33.219,51.129,26.28,77.73,1004.09,30,False
f5_2026-05_000054,site_godrej_15f,2026-05-03 22:55:00+00:00,2026-05-03 23:00:00+00:00,2026-05-03 23:00:00+00:00,,,33.506,51.927,26.0,77.1,1004.1,30,False
f5_2026-05_000055,site_godrej_15f,2026-05-03 23:00:00+00:00,2026-05-03 23:05:00+00:00,2026-05-03 23:05:00+00:00,,,33.738,52.195,26.64,75.84,1004.12,30,False
f5_2026-05_000056,site_godrej_15f,2026-05-03 23:05:00+00:00,2026-05-03 23:10:00+00:00,2026-05-03 23:10:00+00:00,,,34.006,52.523,26.86,77.17,1004.03,30,False
f5_2026-05_000057,site_godrej_15f,2026-05-03 23:10:00+00:00,2026-05-03 23:15:00+00:00,2026-05-03 23:15:00+00:00,,,33.72,52.609,27.02,77.14,1004.05,30,False
f5_2026-05_000058,site_godrej_15f,2026-05-03 23:15:00+00:00,2026-05-03 23:20:00+00:00,2026-05-03 23:20:00+00:00,,,33.908,53.138,26.55,76.64,1004.28,30,False
f5_2026-05_000059,site_godrej_15f,2026-05-03 23:20:00+00:00,2026-05-03 23:25:00+00:00,2026-05-03 23:25:00+00:00,,,34.37,53.511,26.64,75.2,1004.01,30,False
f5_2026-05_000060,site_godrej_15f,2026-05-03 23:25:00+00:00,2026-05-03 23:30:00+00:00,2026-05-03 23:30:00+00:00,,,34.423,53.639,27.0,74.8,1003.98,30,False
f5_2026-05_000061,site_godrej_15f,2026-05-03 23:30:00+00:00,2026-05-03 23:35:00+00:00,2026-05-03 23:35:00+00:00,,,34.238,52.972,27.33,76.3,1004.12,30,False
f5_2026-05_000062,site_godrej_15f,2026-05-03 23:35:00+00:00,2026-05-03 23:40:00+00:00,2026-05-03 23:40:00+00:00,,,34.055,52.697,27.17,75.6,1003.97,30,False
